1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1.3796,1.5906,1.4523,1.1407,1.0881,1.8514,1.5513,1.5312,1.3439,1.6805,1.4194,1.9357,1.4677,1.5546,1.837,2.1328,1.5944,1.2328,1.3304,1.7729,2.5686,1.2309,2.0882,2.5597,1.3522,1.685,1.5098,2.1065,1.7023,2.3134
2.0663,1.7157,1.6459,2.4687,1.5248,1.2435,1.5724,1.7373,2.0786,1.2861,1.4603,2.1577,2.9426,2.0346,1.7095,1.1582,1.2525,1.4195,3.5972,2.5611,3.2774,0.89724,2.8198,0.57835,0.65964,1.9419,1.4624,2.1515,2.1196,1.5371
1.6898,1.4625,2.5037,2.0074,1.3927,1.1916,1.4993,1.5294,1.4183,2.1704,1.4196,1.6892,2.8151,4.3852,1.9338,2.6016,1.8418,1.3987,3.3751,1.799,1.974,1.5312,1.6269,3.0278,4.1786,4.0341,1.159,1.5021,2.0159,1.8346
1.9416,3.5195,1.0492,1.2606,1.499,1.1784,1.2872,1.671,2.8995,1.8961,0.6329,0.87438,1.3721,1.3022,1.0603,1.8161,2.0231,2.1668,NA,1.3401,1.7994,1.2603,1.6807,0.62546,0.81875,1.5424,0.73228,0.87164,1.6754,0.71922
1.596,1.1816,1.4529,1.7135,1.4141,2.2453,2.1641,1.8157,2.131,1.9333,1.6415,2.1906,2.1896,3.579,2.5734,1.7164,3.6056,1.8167,1.2655,2.1101,1.832,3.2963,2.5932,1.778,2.0136,1.5278,2.437,2.5129,1.8025,1.7445
1.2274,0.9254,1.9761,1.6119,1.397,1.8014,1.1683,2.3926,2.3183,1.057,1.3158,2.8765,0.98556,1.3882,1.6582,1.0111,0.6886,1.2291,0.78725,1.1436,1.8464,1.7322,1.7728,0.45923,1.4389,1.0604,0.9831,1.491,1.6315,NA
3.4439,3.7833,1.4172,1.3277,1.0034,3.1592,0.50826,1.0752,0.78822,1.2463,0.92098,4.2899,2.0773,1.9998,2.3401,1.8071,1.3576,1.9498,1.0499,2.5528,0.67249,1.4449,0.98173,1.6557,0.78246,2.1667,0.9646,1.4165,0.87187,1.3421
2.6878,2.4985,0.39129,1.8973,2.8426,3.4303,1.4283,1.8521,2.4595,1.7672,0.66442,1.8525,1.1835,1.3944,1.3075,1.9527,1.1825,0.95625,0.92604,0.7323,1.1002,1.1695,1.799,2.5297,0.72829,0.82278,1.2868,1.2143,0.56228,0.67232
0.93451,1.1737,2.4808,3.95,3.9167,3.1444,0.9724,1.8658,3.6885,2.2419,1.2615,2.409,1.2903,2.5467,1.6229,1.4695,1.2034,2.3763,4.0781,2.4998,1.4443,1.9925,4.428,1.5307,1.3334,2.5742,1.5109,4.3122,1.7254,1.9186
1.4643,1.8492,1.6707,1.7065,1.4028,3.8386,2.8775,2.9854,3.2182,1.6947,2.6243,1.8491,2.3748,1.9494,1.8783,1.8784,2.2603,1.5508,1.6277,2.5598,0.98379,1.3035,1.2549,1.7785,1.106,0.96767,0.87345,2.8789,1.6797,2.1654
